state_name,jurisdiction_name,zipcodes_5_digit,zipcodes_3_digit
Arizona,Maricopa County,85001,850
Arizona,Maricopa County,85002,850
Arizona,Maricopa County,85003,850
Arizona,Maricopa County,85004,850
Arizona,Maricopa County,85005,850
Arizona,Maricopa County,85006,850
Arizona,Maricopa County,85007,850
Arizona,Maricopa County,85008,850
Arizona,Maricopa County,85009,850
Arizona,Maricopa County,85010,850
Arizona,Maricopa County,85011,850
Arizona,Maricopa County,85012,850
Arizona,Maricopa County,85013,850
Arizona,Maricopa County,85014,850
Arizona,Maricopa County,85015,850
Arizona,Maricopa County,85016,850
Arizona,Maricopa County,85017,850
Arizona,Maricopa County,85018,850
Arizona,Maricopa County,85019,850
Arizona,Maricopa County,85020,850
Arizona,Maricopa County,85021,850
Arizona,Maricopa County,85022,850
Arizona,Maricopa County,85023,850
Arizona,Maricopa County,85024,850
Arizona,Maricopa County,85025,850
Arizona,Maricopa County,85026,850
Arizona,Maricopa County,85027,850
Arizona,Maricopa County,85028,850
Arizona,Maricopa County,85029,850
Arizona,Maricopa County,85030,850
Arizona,Maricopa County,85031,850
Arizona,Maricopa County,85032,850
Arizona,Maricopa County,85033,850
Arizona,Maricopa County,85034,850
Arizona,Maricopa County,85035,850
Arizona,Maricopa County,85036,850
Arizona,Maricopa County,85037,850
Arizona,Maricopa County,85038,850
Arizona,Maricopa County,85039,850
Arizona,Maricopa County,85040,850
Arizona,Maricopa County,85041,850
Arizona,Maricopa County,85042,850
Arizona,Maricopa County,85043,850
Arizona,Maricopa County,85044,850
Arizona,Maricopa County,85045,850
Arizona,Maricopa County,85048,850
Arizona,Maricopa County,85050,850
Arizona,Maricopa County,85051,850
Arizona,Maricopa County,85053,850
Arizona,Maricopa County,85054,850
Arizona,Maricopa County,85055,850
Arizona,Maricopa County,85060,850
Arizona,Maricopa County,85061,850
Arizona,Maricopa County,85062,850
Arizona,Maricopa County,85063,850
Arizona,Maricopa County,85064,850
Arizona,Maricopa County,85065,850
Arizona,Maricopa County,85066,850
Arizona,Maricopa County,85067,850
Arizona,Maricopa County,85068,850
Arizona,Maricopa County,85069,850
Arizona,Maricopa County,85070,850
